id,title,year,venue,identifier,theme,evidence_strength,relevance,recommendation
1,"Slicing Aided Hyper Inference and Fine-tuning for Small Object Detection",2022,ICIP,"10.1109/ICIP46576.2022.9897990","ROI/slicing, small objects",High,"Directly increases effective target pixels","Use vehicle ROI first; compare SAHI only if needed"
2,"EfficientDet: Scalable and Efficient Object Detection",2020,CVPR,"10.1109/CVPR42600.2020.01079",BiFPN,High,"Multi-scale fusion for small heads","Second-stage module ablation"
3,"CBAM: Convolutional Block Attention Module",2018,ECCV,"10.1007/978-3-030-01234-2_1",Attention,High,"Simple attention baseline","Lower priority than coordinate attention"
4,"Coordinate Attention for Efficient Mobile Network Design",2021,CVPR,"10.1109/CVPR46437.2021.01350",Attention,High,"Keeps positional information with low overhead","Single insertion ablation"
5,"Generalized Focal Loss",2020,NeurIPS,"arXiv:2006.04388","quality scoring and DFL",High,"Explains score/localization coupling","Do not rewrite first; YOLOv8 already uses DFL ideas"
6,"VarifocalNet: An IoU-aware Dense Object Detector",2021,CVPR,"10.1109/CVPR46437.2021.00841","IoU-aware confidence",High,"Relevant to confidence calibration and ranking","Conditional later loss/head experiment"
7,"Detecting tiny objects in aerial images: NWD and a new benchmark",2022,ISPRS JPRS,"10.1016/j.isprsjprs.2022.06.002","tiny-box assignment/regression",Moderate-High,"IoU is unstable for very small heads","Only if <16px localization remains bottleneck"
8,"DETRs Beat YOLOs on Real-time Object Detection",2024,CVPR,"arXiv:2304.08069",NMS-free RT-DETR,High,"Tests suppression of adjacent heads","Architecture control experiment"
9,"YOLOv10: Real-Time End-to-End Object Detection",2024,NeurIPS,"10.52202/079017-3429",NMS-free YOLO,High,"Important end-to-end YOLO baseline","Not first because current repo has newer YOLO26"
10,"YOLOv12: Attention-Centric Real-Time Object Detectors",2025,NeurIPS,"10.52202/085713-2627",Area Attention,Moderate,"Systematic attention architecture","Optional standard-model benchmark"
11,"Ultralytics YOLO26: Unified Real-Time End-to-End Vision Models",2026,arXiv,"arXiv:2606.03748","STAL, end-to-end, P2",Emerging,"Very direct small-target relevance and native repo support","Primary new-version candidate"
12,"TPH-YOLOv5",2021,ICCV Workshops,"arXiv:2108.11539","P2/tiny head and transformer head",Moderate-High,"Supports high-resolution prediction head","Use P2 concept, not necessarily full architecture"
13,"Efficient Deformable ConvNets: DCNv4",2024,CVPR,"arXiv:2401.06197",Deformable convolution,High,"Potentially helps occlusion and geometry","Only after deployment compatibility check"
